Fecha,Anio,Mes,Linea,Afluencia
28/07/2005,2005,7,Linea 1,237296
29/07/2005,2005,7,Linea 1,258356
30/07/2005,2005,7,Linea 1,159470
31/07/2005,2005,7,Linea 1,104834
03/08/2005,2005,8,Linea 1,255913
04/08/2005,2005,8,Linea 1,262391
05/08/2005,2005,8,Linea 1,255451
10/08/2005,2005,8,Linea 1,266176
12/08/2005,2005,8,Linea 1,266437
14/08/2005,2005,8,Linea 1,101768
22/08/2005,2005,8,Linea 1,248816
23/08/2005,2005,8,Linea 1,241732
24/08/2005,2005,8,Linea 1,271417
25/08/2005,2005,8,Linea 1,237583
26/08/2005,2005,8,Linea 1,277061
28/08/2005,2005,8,Linea 1,104760
01/09/2005,2005,9,Linea 1,264803
02/09/2005,2005,9,Linea 1,279346
03/09/2005,2005,9,Linea 1,149127
10/09/2005,2005,9,Linea 1,145220
14/09/2005,2005,9,Linea 1,282737
17/09/2005,2005,9,Linea 1,77255
18/09/2005,2005,9,Linea 1,84272
19/09/2005,2005,9,Linea 1,255389
24/09/2005,2005,9,Linea 1,174079
26/09/2005,2005,9,Linea 1,252055
04/10/2005,2005,10,Linea 1,246407
20/10/2005,2005,10,Linea 1,260360
22/10/2005,2005,10,Linea 1,96299
23/10/2005,2005,10,Linea 1,118423
24/10/2005,2005,10,Linea 1,214043
25/10/2005,2005,10,Linea 1,218329
29/10/2005,2005,10,Linea 1,72985
31/10/2005,2005,10,Linea 1,213697
01/11/2005,2005,11,Linea 1,188716
06/11/2005,2005,11,Linea 1,83658
07/11/2005,2005,11,Linea 1,223459
08/11/2005,2005,11,Linea 1,162998
09/11/2005,2005,11,Linea 1,230497
11/11/2005,2005,11,Linea 1,235139
13/11/2005,2005,11,Linea 1,66944
15/11/2005,2005,11,Linea 1,233278
18/11/2005,2005,11,Linea 1,237030
19/11/2005,2005,11,Linea 1,137233
20/11/2005,2005,11,Linea 1,65695
24/11/2005,2005,11,Linea 1,237822
29/11/2005,2005,11,Linea 1,232591
30/11/2005,2005,11,Linea 1,248064
02/12/2005,2005,12,Linea 1,257589
03/12/2005,2005,12,Linea 1,140334
04/12/2005,2005,12,Linea 1,69172
05/12/2005,2005,12,Linea 1,244344
07/12/2005,2005,12,Linea 1,236155
11/12/2005,2005,12,Linea 1,64149
15/12/2005,2005,12,Linea 1,264288
25/12/2005,2005,12,Linea 1,54298
27/12/2005,2005,12,Linea 1,146672
02/01/2006,2006,1,Linea 1,165127
03/01/2006,2006,1,Linea 1,189170
05/01/2006,2006,1,Linea 1,210237
07/01/2006,2006,1,Linea 1,143525
09/01/2006,2006,1,Linea 1,229030
10/01/2006,2006,1,Linea 1,226298
16/01/2006,2006,1,Linea 1,231786
19/01/2006,2006,1,Linea 1,225403
24/01/2006,2006,1,Linea 1,241035
26/01/2006,2006,1,Linea 1,234442
27/01/2006,2006,1,Linea 1,256966
28/01/2006,2006,1,Linea 1,174331
05/02/2006,2006,2,Linea 1,58308
07/02/2006,2006,2,Linea 1,265032
11/02/2006,2006,2,Linea 1,126088
14/02/2006,2006,2,Linea 1,266156
18/02/2006,2006,2,Linea 1,131809
20/02/2006,2006,2,Linea 1,250253
21/02/2006,2006,2,Linea 1,254881
24/02/2006,2006,2,Linea 1,282951
01/03/2006,2006,3,Linea 1,259980
02/03/2006,2006,3,Linea 1,264532
04/03/2006,2006,3,Linea 1,124522
05/03/2006,2006,3,Linea 1,75927
07/03/2006,2006,3,Linea 1,244845
08/03/2006,2006,3,Linea 1,260881
12/03/2006,2006,3,Linea 1,68872
29/03/2006,2006,3,Linea 1,257619
31/03/2006,2006,3,Linea 1,278663
01/04/2006,2006,4,Linea 1,143276
04/04/2006,2006,4,Linea 1,258401
09/04/2006,2006,4,Linea 1,79024
11/04/2006,2006,4,Linea 1,210008
14/04/2006,2006,4,Linea 1,37144
01/05/2006,2006,5,Linea 1,83547
03/05/2006,2006,5,Linea 1,267404
05/05/2006,2006,5,Linea 1,230525
06/05/2006,2006,5,Linea 1,139458
10/05/2006,2006,5,Linea 1,201092
12/05/2006,2006,5,Linea 1,264931
16/05/2006,2006,5,Linea 1,262642
17/05/2006,2006,5,Linea 1,259908
18/05/2006,2006,5,Linea 1,277007
19/05/2006,2006,5,Linea 1,257295
21/05/2006,2006,5,Linea 1,81791
23/05/2006,2006,5,Linea 1,262822
27/05/2006,2006,5,Linea 1,139932
28/05/2006,2006,5,Linea 1,79719
29/05/2006,2006,5,Linea 1,247303
30/05/2006,2006,5,Linea 1,258295
01/06/2006,2006,6,Linea 1,259114
03/06/2006,2006,6,Linea 1,147208
05/06/2006,2006,6,Linea 1,262915
15/06/2006,2006,6,Linea 1,254505
18/06/2006,2006,6,Linea 1,72049
22/06/2006,2006,6,Linea 1,248260
23/06/2006,2006,6,Linea 1,246426
30/06/2006,2006,6,Linea 1,252631
02/07/2006,2006,7,Linea 1,72299
03/07/2006,2006,7,Linea 1,240749
04/07/2006,2006,7,Linea 1,246484
05/07/2006,2006,7,Linea 1,254340
08/07/2006,2006,7,Linea 1,130988
09/07/2006,2006,7,Linea 1,72357
10/07/2006,2006,7,Linea 1,231318
11/07/2006,2006,7,Linea 1,254189
18/07/2006,2006,7,Linea 1,247182
19/07/2006,2006,7,Linea 1,246521
21/07/2006,2006,7,Linea 1,245908
22/07/2006,2006,7,Linea 1,124914
27/07/2006,2006,7,Linea 1,249466
31/07/2006,2006,7,Linea 1,260353
03/08/2006,2006,8,Linea 1,252914
04/08/2006,2006,8,Linea 1,265044
08/08/2006,2006,8,Linea 1,259805
09/08/2006,2006,8,Linea 1,264689
11/08/2006,2006,8,Linea 1,277679
18/08/2006,2006,8,Linea 1,282322
20/08/2006,2006,8,Linea 1,79651
25/08/2006,2006,8,Linea 1,265267
26/08/2006,2006,8,Linea 1,138074
27/08/2006,2006,8,Linea 1,71246
31/08/2006,2006,8,Linea 1,277404
01/09/2006,2006,9,Linea 1,269721
02/09/2006,2006,9,Linea 1,144573
08/09/2006,2006,9,Linea 1,286125
09/09/2006,2006,9,Linea 1,157009
13/09/2006,2006,9,Linea 1,278952
17/09/2006,2006,9,Linea 1,77128
18/09/2006,2006,9,Linea 1,256076
21/09/2006,2006,9,Linea 1,247408
22/09/2006,2006,9,Linea 1,259357
26/09/2006,2006,9,Linea 1,250183
27/09/2006,2006,9,Linea 1,248292
02/10/2006,2006,10,Linea 1,246758
05/10/2006,2006,10,Linea 1,245142
06/10/2006,2006,10,Linea 1,252635
10/10/2006,2006,10,Linea 1,240058
18/10/2006,2006,10,Linea 1,251187
21/10/2006,2006,10,Linea 1,135240
22/10/2006,2006,10,Linea 1,73921
24/10/2006,2006,10,Linea 1,236994
27/10/2006,2006,10,Linea 1,251986
29/10/2006,2006,10,Linea 1,79090
