Dia de la semana,Dia,Mes,Anio,Contador Ruta Reforma222,Contador Ruta Revolucion,Contador Ruta Patriotismo
jueves,5,12,2013,2516,,
lunes,9,12,2013,2132,,
viernes,22,6,2018,2913,980,1163
martes,10,7,2018,2531,877,1013
sabado,7,7,2018,1534,616,584
sabado,29,9,2018,1751,603,643
viernes,27,7,2018,2873,867,1067
lunes,6,8,2018,33,803,
martes,28,5,2019,4015,1125,1416
domingo,16,3,2014,1275,,
lunes,10,3,2014,2491,,
miercoles,3,9,2014,1982,,
sabado,6,9,2014,1471,,
miercoles,30,7,2014,2367,,
lunes,7,7,2014,1957,,
miercoles,1,10,2014,2748,,
martes,14,10,2014,2189,,
miercoles,26,11,2014,2645,,
miercoles,29,10,2014,2739,,
viernes,21,11,2014,2422,,
viernes,28,11,2014,2544,,
lunes,16,2,2015,2427,,
viernes,17,4,2015,2726,,
lunes,23,3,2015,23,,
miercoles,24,12,2014,415,,
domingo,28,12,2014,1225,,
martes,16,12,2014,2511,,
miercoles,27,7,2016,2644,717,787
lunes,25,7,2016,1855,645,711
domingo,10,7,2016,1013,528,462
jueves,21,7,2016,2675,803,801
sabado,11,6,2016,1279,,
jueves,28,4,2016,2975,,
domingo,11,9,2016,972,464,495
viernes,2,9,2016,2704,852,934
lunes,12,9,2016,252,785,824
lunes,29,8,2016,2642,809,842
viernes,4,1,2019,3133,662,846
domingo,29,12,2013,1219,,
jueves,26,12,2013,1426,,
domingo,26,1,2014,1545,,
domingo,5,1,2014,988,,
miercoles,12,2,2014,2793,,
martes,4,2,2014,2579,,
jueves,30,1,2014,2767,,
domingo,25,12,2016,520,251,449
jueves,22,12,2016,2393,797,839
sabado,14,1,2017,1442,573,571
martes,17,1,2017,3071,1019,1203
miercoles,22,3,2017,3195,1183,1327
miercoles,1,3,2017,3269,1168,1371
viernes,3,3,2017,2921,1013,1199
martes,21,3,2017,2997,108,1302
miercoles,21,9,2016,2551,773,844
domingo,18,9,2016,1217,487,560
miercoles,5,10,2016,3197,909,1073
viernes,28,10,2016,2668,872,966
jueves,20,10,2016,2938,975,1043
lunes,7,11,2016,2782,103,1022
lunes,24,10,2016,2909,911,1032
miercoles,15,11,2017,3486,1153,1349
martes,12,12,2017,2637,950,1088
domingo,3,12,2017,1284,574,478
martes,5,12,2017,3413,1133,1327
sabado,10,2,2018,1486,981,625
viernes,19,1,2018,,1015,1079
domingo,21,1,2018,,549,559
sabado,6,1,2018,,611,527
lunes,29,1,2018,,866,986
viernes,25,11,2016,2651,960,973
viernes,11,11,2016,2735,765,860
lunes,5,12,2016,2844,961,105
viernes,27,4,2018,3087,1012,1236
lunes,9,4,2018,3078,112,1314
miercoles,26,4,2017,3238,1205,114
viernes,24,3,2017,2894,1115,1232
sabado,15,4,2017,2274,774,725
sabado,13,5,2017,1446,614,658
lunes,15,5,2017,6056,1101,1288
martes,27,6,2017,2456,911,529
lunes,5,6,2017,2933,1002,1286
lunes,22,5,2017,2628,896,114
sabado,15,7,2017,1674,629,571
sabado,22,7,2017,,627,558
domingo,23,7,2017,,423,580
jueves,27,7,2017,,922,967
domingo,5,11,2017,1541,,538
jueves,12,10,2017,,,1123
martes,24,10,2017,,,1168
miercoles,13,9,2017,,108,1167
lunes,21,8,2017,,969,1101
jueves,28,9,2017,,,1008
domingo,1,10,2017,,,687
lunes,26,3,2018,2905,904,1152
viernes,25,5,2018,3175,1043,1223
martes,22,5,2018,2884,109,1274
domingo,19,4,2015,1236,,
sabado,27,6,2015,1338,,
viernes,15,5,2015,2526,,
jueves,21,5,2015,2884,,
jueves,12,11,2015,2885,,
jueves,17,12,2015,2508,,
jueves,31,12,2015,1253,,
domingo,18,10,2015,778,,
miercoles,20,1,2016,2651,,
martes,19,1,2016,271,,
martes,26,1,2016,7282,,
sabado,12,3,2016,132,,
martes,26,4,2016,2975,,
lunes,14,3,2016,2645,,
lunes,21,3,2016,1077,,
miercoles,2,9,2015,1839,,
sabado,26,9,2015,872,,
viernes,25,9,2015,2559,,
miercoles,7,10,2015,2882,,
miercoles,1,7,2015,2435,,
sabado,22,8,2015,1331,,
sabado,25,7,2015,1419,,
sabado,27,2,2016,1543,,
jueves,3,3,2016,337,,
martes,3,6,2014,2546,,
sabado,24,5,2014,1267,,
lunes,26,5,2014,2329,,
viernes,3,5,2019,3821,1079,1261
domingo,10,2,2019,2131,655,651
domingo,3,2,2019,1909,337,566
lunes,25,2,2019,3346,840,1248
viernes,8,3,2019,4247,982,1324
lunes,11,3,2019,3871,715,1365
jueves,4,4,2019,4232,676,1330
martes,9,4,2019,3974,1104,1488
lunes,1,4,2019,3869,965,1367
sabado,22,6,2019,2748,774,945
lunes,17,6,2019,3692,1054,1297
lunes,24,6,2019,2979,630,935
jueves,11,7,2019,3420,755,1117
lunes,1,7,2019,3446,725,1138
miercoles,12,6,2019,4188,1148,1358
viernes,28,6,2019,3724,556,1159
martes,11,6,2019,4133,1171,1370
sabado,1,6,2019,1792,664,604
martes,15,1,2019,3972,913,1404
domingo,17,2,2019,1832,408,642
lunes,18,2,2019,3786,935,1368
martes,19,2,2019,4037,927,1494
miercoles,27,2,2019,4003,999,1474
lunes,4,3,2019,3021,766,1198
jueves,7,3,2019,4050,868,1314
sabado,9,3,2019,2329,466,750
miercoles,27,3,2019,4228,919,1464
sabado,13,4,2019,2243,688,700
viernes,19,4,2019,2011,432,575
sabado,28,12,2013,1052,,
miercoles,15,1,2014,2283,,
martes,17,12,2013,2246,,
viernes,17,1,2014,2297,,
jueves,23,1,2014,2442,,
miercoles,5,2,2014,2661,,
domingo,9,2,2014,1373,,
jueves,6,2,2014,2671,,
sabado,22,3,2014,1882,,
sabado,5,4,2014,1494,,
jueves,20,3,2014,297,,
martes,1,4,2014,2222,,
lunes,24,3,2014,2692,,
sabado,12,4,2014,16,,
viernes,18,4,2014,983,,
domingo,27,4,2014,1673,,
lunes,14,4,2014,2016,,
sabado,12,7,2014,154,,
sabado,22,11,2014,1457,,
viernes,26,12,2014,1472,,
domingo,21,12,2014,943,,
viernes,7,11,2014,2772,,
miercoles,28,5,2014,2263,,
viernes,20,6,2014,1786,,
viernes,30,5,2014,1972,,
martes,27,5,2014,2616,,
domingo,4,5,2014,1243,,
lunes,12,5,2014,2362,,
domingo,21,9,2014,117,,
viernes,10,10,2014,1992,,
viernes,17,10,2014,2479,,
domingo,26,10,2014,1299,,
lunes,6,10,2014,2155,,
sabado,7,3,2015,1848,,
miercoles,4,3,2015,2991,,
sabado,7,2,2015,1652,,
lunes,2,2,2015,1045,,
martes,27,1,2015,2968,,
sabado,23,5,2015,1506,,
miercoles,9,9,2015,2826,,
jueves,1,10,2015,2576,,
jueves,30,7,2015,2735,,
lunes,17,8,2015,2089,,
lunes,3,8,2015,239,,
sabado,21,11,2015,1468,,
viernes,10,7,2015,5861,,
domingo,28,6,2015,826,,
martes,23,6,2015,2823,,
miercoles,21,10,2015,2987,,
viernes,23,10,2015,2743,,
viernes,30,10,2015,2433,,
miercoles,13,7,2016,263,731,904
sabado,23,7,2016,1345,554,471
miercoles,1,6,2016,2825,,
martes,17,5,2016,2463,,
jueves,26,5,2016,2326,,
miercoles,6,1,2016,2236,,
sabado,23,4,2016,1347,,
sabado,7,5,2016,1459,,
miercoles,16,3,2016,2566,,
jueves,14,4,2016,3128,,
lunes,4,4,2016,2736,,
jueves,11,2,2016,2259,,
lunes,15,2,2016,2439,,
domingo,13,3,2016,133,,
lunes,22,2,2016,2504,,
lunes,8,2,2016,2128,,
lunes,15,8,2016,2712,845,930
lunes,13,2,2017,2993,1119,1171
lunes,20,2,2017,3069,1102,1231
domingo,15,1,2017,1245,567,551
domingo,8,1,2017,928,504,473
miercoles,31,5,2017,2849,106,1139
sabado,22,4,2017,1691,657,653
sabado,20,5,2017,1606,653,649
sabado,6,5,2017,1584,717,735
jueves,25,5,2017,2615,893,1112
jueves,11,5,2017,26,940,124
miercoles,20,12,2017,3022,985,1055
jueves,7,12,2017,3394,1113,1266
lunes,11,12,2017,2885,956,1083
sabado,4,11,2017,4884,,1237
viernes,20,10,2017,,,118
lunes,23,10,2017,,,1161
lunes,20,3,2017,1325,514,570
lunes,13,3,2017,285,981,1157
jueves,13,7,2017,15012,900,1187
miercoles,23,8,2017,,1088,1217
jueves,3,8,2017,,916,948
lunes,24,7,2017,,693,814
domingo,17,9,2017,,506,546
lunes,18,9,2017,,918,1009
martes,5,9,2017,,881,
jueves,7,9,2017,,896,
sabado,23,12,2017,1148,636,568
domingo,24,12,2017,620,366,308
jueves,15,9,2016,2135,835,831
martes,13,9,2016,2709,799,915
sabado,1,10,2016,1588,491,527
viernes,7,10,2016,2627,897,999
martes,4,10,2016,3122,964,1063
domingo,18,12,2016,870,425,452
viernes,4,11,2016,2704,909,1017
viernes,2,12,2016,2592,920,108
martes,30,1,2018,,940,990
lunes,8,1,2018,,1054,1154
domingo,18,2,2018,1372,884,681
martes,27,3,2018,3036,945,1204
lunes,12,3,2018,2726,2759,1153
viernes,6,4,2018,2668,883,102
miercoles,5,12,2018,3803,794,1127
viernes,30,11,2018,3608,866,1087
lunes,12,11,2018,3509,895,1257
domingo,24,11,2013,1126,,
miercoles,13,6,2018,1967,589,674
sabado,23,6,2018,1092,533,589
jueves,21,6,2018,2868,912,1047
jueves,28,6,2018,2702,867,1026
sabado,28,4,2018,1511,558,642
domingo,6,5,2018,1217,457,541
jueves,10,5,2018,2745,851,121
jueves,24,5,2018,3338,1038,1325
lunes,7,5,2018,2885,1,1241
viernes,2,11,2018,13,370,411
martes,6,11,2018,3817,904,1283
jueves,8,11,2018,3954,837,1289
viernes,5,10,2018,3247,973,1272
jueves,11,10,2018,3354,964,1196
martes,18,9,2018,3156,971,1218
sabado,8,9,2018,1744,664,701
viernes,3,8,2018,2786,809,993
martes,31,7,2018,272,911,1173
viernes,17,8,2018,2637,779,
martes,14,8,2018,188,1006,
martes,28,8,2018,2483,861,
miercoles,3,7,2019,3823,698,1224
viernes,19,7,2019,3189,799,988
martes,9,7,2019,3856,1042,1220
domingo,21,7,2019,1798,483,559
